Stim,Arousal,Mem
1525,6.73,0.813944399
2717,6.27,0.783002436
3068,7.23,0.703982413
9254,7,0.71751368
1019,3.53,0.83632237
1022,3.73,0.64351058
1040,3.83,0.86271185
1050,4.35,0.91760308
1051,3.88,0.81819445
1052,4.88,0.90935016
1070,3.9,0.89357519
1080,4.2,0.89862621
1090,4,0.92549247
1101,3.6,0.78944945
1110,3.1,0.87155789
1111,2.48,0.88613504
1113,4.37,0.65956378
1120,4.3,0.86685544
1200,3.24,0.68954933
1201,4.76,0.95626652
1220,3.68,0.80145299
1240,4.04,0.67540139
1270,2.68,0.89519209
1275,2.84,0.86947811
1280,2.93,0.85091078
1300,3.8,0.84316236
1301,3.96,0.86090356
1302,5.38,0.77052665
1390,3.72,0.74470901
1930,4.85,0.81744456
1931,5.22,0.75244981
1945,3.24,0.88097429
2053,5.26,0.65127683
2120,3.57,0.92558855
2141,3.16,0.62130558
2205,3.67,0.54573411
2276,3,0.82000464
2352.2,4.8,0.76566529
2691,4.28,0.68124145
2692,5.08,0.78704387
2700,3.88,0.7838105
2710,3.2,0.8429271
2730,3.61,0.78761524
2750,3.42,0.67739183
2751,5.45,0.71997172
2752,2.44,0.84377182
2753,2.72,0.89861137
2800,5.79,0.86019367
2810,4.81,0.8012144
2900,3.62,0.82744694
2900.1,4.88,0.82744694
3000,6.22,0.83825499
3010,4.33,0.71560836
3015,3.6,0.79114509
3022,4.08,0.7561515
3030,3.28,0.87072444
3051,1.24,0.87102062
3053,5.22,0.57155776
3060,4.96,0.93533111
3061,5.28,0.76430345
3062,4.58,0.88787037
3063,4.04,0.8869366
3064,5.33,0.81480277
3071,5.28,0.78374332
3080,5.71,0.67664713
3100,5.56,0.93750644
3102,5.56,0.94935554
3110,4.16,0.7612229
3120,4.18,0.83876508
3130,3.96,0.82761335
3140,4.56,0.91084534
3150,3.88,0.84656888
3160,4.76,0.87241048
3168,2.68,0.8436358
3170,5.44,0.80728763
3180,3.35,0.92053539
3181,4.48,0.79057533
3190,3,0.94700992
3210,4.21,0.75310725
3220,4.44,0.85209388
3230,3.9,0.80648071
3250,4.38,0.97625548
3261,4.28,0.80151248
3266,2.76,0.86933464
3280,3.73,0.83039713
3300,3.95,0.78562558
3301,3.81,0.88389015
3350,5,0.73775679
3400,4.94,0.85856211
3500,4.27,0.80809408
3530,5.33,0.81666529
3550,4,0.85056543
3550.1,6.17,0.80944914
4210,5.02,0.94165581
4230,3.33,0.85616928
4240,3.36,0.90681124
4290,3.04,0.93473643
4302,3.69,0.90626276
4490,4.49,0.92897481
4550,4.17,0.77365869
4621,4.32,0.82973498
4635,3.31,0.9119671
4651,5.05,0.89796484
4664.1,5.7,0.8929888
4664.2,5.27,0.83774042
4666,6.32,0.91022241
5940,2.63,0.69611275
5970,4.62,0.76064581
5971,4.38,0.67256266
5972,4.56,0.62550879
6000,2.96,0.69443035
6010,4.04,0.81700128
6020,3.55,0.66692203
6190,5,0.81184691
6200,4.61,0.84868705
6210,4.44,0.90360898
6211,3.69,0.65783828
6212,4.47,0.74493235
6213,4.66,0.8337276
6230,4.88,0.88699031
6241,2.75,0.70786369
6242,5.31,0.8165251
6243,5.23,0.86848205
6244,4.9,0.8816542
6250,6.54,0.91211963
6250.1,5.42,0.91404015
6260,4.92,0.91529745
6300,4.84,0.67531025
6312,5.15,0.8285659
6313,4.96,0.74437225
6314,4.44,0.90925246
6350,1.8,0.76776463
6360,2.88,0.626203
6370,4.32,0.88019347
6410,3.36,0.71557891
6510,5.67,0.81218845
6530,3.48,0.78609997
6540,4.96,0.83391881
6550,4.68,0.93960053
6560,5.23,0.82451928
6561,4.68,0.78445148
6570,5.21,0.80062276
6570.1,4.14,0.80062276
6571,4.6,0.89500833
6610,2.96,0.75959289
6800,3.08,0.83451051
6821,4.48,0.74000621
6830,4.4,0.73013109
6831,4.97,0.6518358
6834,4.08,0.62108368
6836,3.52,0.70060408
6838,3.54,0.65573424
6840,3,0.68427444
6910,2.73,0.69128543
6930,4.02,0.62628692
6940,3.62,0.69829535
7184,2.23,0.79353893
7360,2.28,0.87153506
7361,4.4,0.78624016
7380,4.27,0.79051137
7640,4.37,0.69197667
7920,3.32,0.87856215
8230,3.76,0.84326786
8231,4.38,0.77406526
8480,4.57,0.70066911
9000,4.84,0.77339166
9001,3.24,0.48414287
9005,4.29,0.96474606
9006,4.85,0.90832138
9007,3.55,0.83394974
9008,2.58,0.83684516
9010,3,0.6300931
9040,3.48,0.84639484
9041,2.84,0.92144394
9042,4.57,0.92349565
9045,2.95,0.95406944
9046,3.5,0.72979355
9050,4.58,0.68718338
9070,3.9,0.81490648
9101,3.12,0.88013703
9102,4.41,0.8684656
9110,2.96,0.8955639
9120,4.6,0.62743646
9140,3.65,0.78619707
9160,4.36,0.69790322
9180,3.74,0.73779202
9181,5.36,0.61232853
9190,3.12,0.81930083
9210,2.67,0.73838156
9220,3.26,0.67321634
9230,4.38,0.59805542
9250,4.53,0.70763689
9252,3.56,0.8141644
9253,5.78,0.6287598
9265,4.42,0.89593464
9270,3.6,0.82414776
9280,3.5,0.51403356
9290,3.52,0.70560068
9300,4.8,0.887685
9320,3.31,0.82408029
9330,3.27,0.76750988
9331,3.53,0.85240144
9340,4.4,0.70082515
9373,4.16,0.84788519
9390,3.24,0.57781124
9400,4.4,0.77366811
9401,3.2,0.91742712
9402,3,0.88611567
9410,5.63,0.87322539
9411,3.75,0.70644724
9415,3.16,0.66408533
9417,3.24,0.75955462
9420,3.54,0.78491408
9421,3.6,0.7572068
9430,2.9,0.72598058
9432,4.64,0.78287309
9433,3.71,0.76427114
9440,3.76,0.80796129
9452,3.56,0.76419562
9470,3.39,0.79865938
9480,4.64,0.68844414
9490,4.12,0.72087777
9500,3.38,0.6160773
9520,3.93,0.72769213
9530,3.69,0.65983588
9560,4.15,0.77212983
9561,3.84,0.73959506
9570,6.04,0.74403119
9571,3.46,0.89194793
9582,3.23,0.910788
9584,3.86,0.87908655
9592,3.24,0.83094919
9594,3.74,0.95057547
9611,3.63,0.66956896
9620,5.09,0.55981368
9622,4.33,0.71878207
9800,4.13,0.75556237
9910,4.08,0.70311004
9912,4.56,0.68233401
9920,4.9,0.73051703
P233,-1,
P077,-1,
6250_1,-1,
O022,,
3069,,
6415,,
1112,,
3069,,
F149,,
P237,,
A041,-1,
2716,-2,
9156,,
A001,-1,
7284,,